goal_reached,collision,out_of_bounds,time_out,episode_steps,duration_s,final_distance_to_goal_m,path_length_m,trajectory_efficiency,command_variation_mps,command_variation_rate_mps2,min_clearance_m,mean_residual_mps
True,False,False,False,406,16.239999771118164,0.27551552653312683,19.597694396972656,0.8607754111289978,134.549560546875,8.28507137298584,0.3359929621219635,0.0
True,False,False,False,407,16.279998779296875,0.29889294505119324,19.651321411132812,0.8459643125534058,142.4263458251953,8.748547554016113,0.44044801592826843,0.0
True,False,False,False,408,16.31999969482422,0.28995293378829956,19.35611343383789,0.8541374802589417,139.68130493164062,8.558903694152832,0.339001327753067,0.0
True,False,False,False,408,16.31999969482422,0.28140220046043396,19.656936645507812,0.8557280898094177,137.8729248046875,8.44809627532959,0.43333742022514343,0.0
True,False,False,False,412,16.479999542236328,0.28497299551963806,19.639259338378906,0.854766845703125,143.0047607421875,8.677474021911621,0.3422500789165497,0.0
True,False,False,False,414,16.559999465942383,0.26857098937034607,19.392919540405273,0.8494700193405151,142.9591064453125,8.632796287536621,0.33302614092826843,0.0
True,False,False,False,416,16.639999389648438,0.2815161645412445,19.550756454467773,0.848220705986023,145.502197265625,8.744122505187988,0.33391115069389343,0.0
True,False,False,False,416,16.639999389648438,0.29501253366470337,19.44236946105957,0.8601727485656738,142.9591064453125,8.591292381286621,0.33360597491264343,0.0
True,False,False,False,416,16.639999389648438,0.29071474075317383,19.61925506591797,0.8446527123451233,147.10858154296875,8.840660095214844,0.34634652733802795,0.0
True,False,False,False,416,16.639999389648438,0.2872106432914734,19.666484832763672,0.8433316349983215,141.3983154296875,8.497495651245117,0.43378809094429016,0.0
True,False,False,False,418,16.719999313354492,0.2914811968803406,19.311857223510742,0.8527588248252869,145.502197265625,8.702284812927246,0.33464357256889343,0.0
True,False,False,False,418,16.719999313354492,0.2904094159603119,19.55446434020996,0.8475971817970276,144.72190856933594,8.655616760253906,0.33345338702201843,0.0
True,False,False,False,419,16.760000228881836,0.265273779630661,19.847490310668945,0.8473467826843262,147.84329223632812,8.821198463439941,0.33327028155326843,0.0
True,False,False,False,421,16.84000015258789,0.2526167035102844,20.46779441833496,0.810858428478241,177.71168518066406,10.552949905395508,0.33311769366264343,0.0
True,False,False,False,422,16.8799991607666,0.2806590497493744,19.897459030151367,0.8274985551834106,162.4015350341797,9.620944023132324,0.33415529131889343,0.0
True,False,False,False,425,17.0,0.27959609031677246,19.925527572631836,0.8256940841674805,149.85357666015625,8.814916610717773,0.33281251788139343,0.0
True,False,False,False,425,17.0,0.27255481481552124,19.891944885253906,0.8360273241996765,157.32652282714844,9.254501342773438,0.3321993052959442,0.0
True,False,False,False,425,17.0,0.2728290855884552,19.664155960083008,0.8480780124664307,148.24609375,8.720358848571777,0.33748170733451843,0.0
